

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.049  000.049: --- NVIM STARTING ---
000.700  000.651: event init
001.283  000.583: early init
001.976  000.693: locale set
002.400  000.424: init first window
004.637  002.237: inits 1
004.704  000.067: window checked
004.721  000.017: parsing arguments
007.097  000.367  000.367: require('vim.shared')
007.660  000.217  000.217: require('vim._meta')
007.668  000.554  000.337: require('vim._editor')
007.674  001.065  000.144: require('vim._init_packages')
007.680  001.894: init lua interpreter
007.888  000.208: expanding arguments
008.163  000.275: inits 2
009.262  001.099: init highlight
009.268  000.006: waiting for UI
016.397  007.129: done waiting for UI
016.429  000.032: init screen for UI
016.554  000.125: init default mappings
016.566  000.012: init default autocommands
017.733  000.061  000.061: sourcing /usr/share/nvim/runtime/ftplugin.vim
017.934  000.031  000.031: sourcing /usr/share/nvim/runtime/indent.vim
018.208  000.007  000.007: require('vim.keymap')
018.362  000.327  000.320: require('core.keymaps')
019.642  000.246  000.246: require('packer.util')
019.698  001.241  000.995: require('packer')
020.054  000.353  000.353: require('packer.log')
020.611  000.198  000.198: require('packer.async')
021.006  000.147  000.147: require('packer.result')
021.010  000.396  000.249: require('packer.jobs')
021.017  000.944  000.350: require('packer.plugin_utils')
021.282  000.255  000.255: require('packer.snapshot')
021.539  003.174  000.381: require('core.plugins')
023.283  001.184  001.184: require('gruvbox')
024.725  002.643  001.459: sourcing /home/nightwng120/.local/share/nvim/site/pack/packer/start/gruvbox.nvim/colors/gruvbox.lua
024.743  003.161  000.518: require('core.plugin_config.gruvbox')
025.725  000.212  000.212: require('lualine_require')
026.401  001.580  001.368: require('lualine')
027.675  000.122  000.122: require('lualine.themes.gruvbox_dark')
033.960  009.213  007.511: require('core.plugin_config.lualine')
035.695  000.148  000.148: require('nvim-tree.notify')
035.702  000.299  000.151: require('nvim-tree.events')
036.288  000.166  000.166: require('nvim-tree.log')
036.885  000.143  000.143: require('nvim-tree.iterators.node-iterator')
036.942  000.651  000.508: require('nvim-tree.utils')
037.182  000.237  000.237: require('nvim-tree.git.utils')
037.498  000.314  000.314: require('nvim-tree.git.runner')
037.963  000.462  000.462: require('nvim-tree.watcher')
038.199  000.233  000.233: require('nvim-tree.explorer.node')
038.204  002.360  000.298: require('nvim-tree.git')
038.373  000.167  000.167: require('nvim-tree.explorer.watch')
038.660  000.134  000.134: require('nvim-tree.explorer.node-builders')
038.901  000.238  000.238: require('nvim-tree.explorer.sorters')
039.221  000.122  000.122: require('nvim-tree.marks')
039.225  000.322  000.200: require('nvim-tree.explorer.filters')
039.868  000.433  000.433: require('nvim-tree.view')
039.874  000.647  000.214: require('nvim-tree.live-filter')
039.877  001.501  000.160: require('nvim-tree.explorer.explore')
040.102  000.224  000.224: require('nvim-tree.explorer.reload')
040.108  004.405  000.152: require('nvim-tree.explorer')
040.111  004.822  000.119: require('nvim-tree.core')
040.286  000.174  000.174: require('nvim-tree.renderer.components.padding')
040.446  000.157  000.157: require('nvim-tree.renderer.components.icons')
040.612  000.164  000.164: require('nvim-tree.renderer.components.full-name')
041.157  000.093  000.093: require('nvim-tree.enum')
041.304  000.144  000.144: require('nvim-tree.renderer.decorator')
041.308  000.365  000.127: require('nvim-tree.renderer.decorator.bookmarks')
041.417  000.108  000.108: require('nvim-tree.renderer.decorator.copied')
041.523  000.104  000.104: require('nvim-tree.renderer.decorator.cut')
041.885  000.205  000.205: require('nvim-tree.diagnostics')
042.924  000.007  000.007: require('vim.F')
042.976  001.087  001.081: require('vim.diagnostic')
042.981  001.456  000.163: require('nvim-tree.renderer.decorator.diagnostics')
043.228  000.220  000.220: require('nvim-tree.renderer.decorator.git')
043.468  000.115  000.115: require('nvim-tree.buffers')
043.472  000.241  000.126: require('nvim-tree.renderer.decorator.modified')
043.580  000.106  000.106: require('nvim-tree.renderer.decorator.opened')
043.586  002.972  000.373: require('nvim-tree.renderer.builder')
043.591  008.458  000.169: require('nvim-tree.renderer')
043.597  008.890  000.432: require('nvim-tree.lib')
043.804  000.206  000.206: require('nvim-tree.appearance')
044.573  000.141  000.141: require('nvim-tree.actions.finders.find-file')
044.714  000.138  000.138: require('nvim-tree.actions.finders.search-node')
044.717  000.375  000.095: require('nvim-tree.actions.finders')
045.261  000.143  000.143: require('nvim-tree.actions.reloaders')
045.269  000.451  000.308: require('nvim-tree.actions.fs.copy-paste')
045.443  000.171  000.171: require('nvim-tree.actions.fs.create-file')
045.661  000.217  000.217: require('nvim-tree.actions.fs.remove-file')
045.858  000.194  000.194: require('nvim-tree.actions.fs.rename-file')
046.041  000.181  000.181: require('nvim-tree.actions.fs.trash')
046.044  001.325  000.112: require('nvim-tree.actions.fs')
046.336  000.192  000.192: require('nvim-tree.actions.moves.item')
046.455  000.117  000.117: require('nvim-tree.actions.moves.parent')
046.579  000.121  000.121: require('nvim-tree.actions.moves.sibling')
046.581  000.535  000.106: require('nvim-tree.actions.moves')
046.828  000.144  000.144: require('nvim-tree.actions.node.file-popup')
047.156  000.325  000.325: require('nvim-tree.actions.node.open-file')
047.266  000.107  000.107: require('nvim-tree.actions.node.run-command')
047.407  000.138  000.138: require('nvim-tree.actions.node.system-open')
047.409  000.827  000.112: require('nvim-tree.actions.node')
047.668  000.160  000.160: require('nvim-tree.actions.root.change-dir')
047.774  000.104  000.104: require('nvim-tree.actions.root.dir-up')
047.777  000.365  000.101: require('nvim-tree.actions.root')
048.004  000.125  000.125: require('nvim-tree.actions.tree.find-file')
048.234  000.122  000.122: require('nvim-tree.actions.tree.modifiers.collapse-all')
048.384  000.147  000.147: require('nvim-tree.actions.tree.modifiers.expand-all')
048.500  000.114  000.114: require('nvim-tree.actions.tree.modifiers.toggles')
048.502  000.496  000.113: require('nvim-tree.actions.tree.modifiers')
048.624  000.120  000.120: require('nvim-tree.actions.tree.open')
048.755  000.129  000.129: require('nvim-tree.actions.tree.toggle')
048.757  000.979  000.109: require('nvim-tree.actions.tree')
048.758  004.518  000.111: require('nvim-tree.actions')
048.902  000.142  000.142: require('nvim-tree.appearance.diagnostics')
049.393  000.251  000.251: require('nvim-tree.keymap')
049.398  000.493  000.242: require('nvim-tree.help')
049.567  000.167  000.167: require('nvim-tree.marks.navigation')
049.723  000.153  000.153: require('nvim-tree.marks.bulk-delete')
049.857  000.132  000.132: require('nvim-tree.marks.bulk-trash')
050.006  000.147  000.147: require('nvim-tree.marks.bulk-move')
050.065  006.077  000.325: require('nvim-tree.api')
050.078  006.240  000.163: require('nvim-tree.commands')
050.236  000.156  000.156: require('nvim-tree.legacy')
050.292  016.278  000.785: require('nvim-tree')
076.288  000.932  000.932: require('nvim-web-devicons.icons-default')
